Component	HOST	Service	STATE	OUPUT	NOTIFICATION_STATUS	COMMENT_ENTRY_TIME	COMMENT_AUTHOR	COMMENT_DATA	DOWNTIME_START	DOWNTIME_END	DOWNTIME_DURATION	IS_DOWNTIME	IS_ACKNOWLEDGED	DOWNTIME_AUTHOR	DOWNTIME_COMMENT	
Hoststatus	csx-b-sf1-008.us-texas-3	NA	OK	OK - 10.202.161.109: rta 3.191ms, lost 0%	DISABLED	None	None	None	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Hoststatus	csx-b-sf1-mvip01.us-texas-3	NA	OK	OK - 10.202.161.100: rta 6.467ms, lost 0%	DISABLED	None	None	None	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Hoststatus	csx-ceph1-022	NA	CRITICAL	CRITICAL - 10.202.161.32: rta nan, lost 100%	ENABLED	Wed Mar 30 20:52:01 2016	jareking	CCS000014876	None	None	None	None	ACKNOWLEDGED	None	None	
Hoststatus	csx-ceph1-031	NA	OK	OK - 10.202.161.41: rta 0.221ms, lost 0%	ENABLED	Mon Nov 28 21:30:55 2016	admin	This host has been scheduled for fixed downtime from 07-28-2016 21:50:36 to 07-28-2017 23:50:36.  Notifications for the host will not be sent out during that time period.	Fri Jul 29 03:20:36 2016	Sat Jul 29 05:20:36 2017	31543200	1	NOT_ACKNOWLEDGED	admin	Setting downtime for a year per Anthony D since this system isn't in prod and is being used for testing alfredgu	
Hoststatus	int_sso_cluster	NA	OK	OK: Nagios pseudo-host for HAProxy services	DISABLED	None	None	None	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Hoststatus	int_sunrise_cluster	NA	OK	OK: Nagios pseudo-host for HAProxy services	ENABLED	Mon Nov 28 21:30:55 2016	andrpric	This host has been scheduled for fixed downtime from 05-18-2016 20:12:00 to 05-18-2017 22:12:00.  Notifications for the host will not be sent out during that time period.	Thu May 19 01:42:00 2016	Fri May 19 03:42:00 2017	31543200	1	NOT_ACKNOWLEDGED	andrpric	CHG0035071 - Sunrise being removed	
Hoststatus	int_sunrise_remote_public_cluster	NA	OK	OK: Nagios pseudo-host for HAProxy services	ENABLED	Mon Nov 28 21:30:55 2016	andrpric	This host has been scheduled for fixed downtime from 05-18-2016 20:12:16 to 05-18-2017 22:12:16.  Notifications for the host will not be sent out during that time period.	Thu May 19 01:42:16 2016	Fri May 19 03:42:16 2017	31543200	1	NOT_ACKNOWLEDGED	andrpric	CHG0035071 - Sunrise being removed	
Servicestatus	alln01-2-csm-p-bmcapp-001	check-mk-discovery	OK	OK - no unchecked services found	DISABLED	None	None	None	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Servicestatus	alln01-2-csm-p-bmcapp-002	check-mk-discovery	OK	OK - no unchecked services found	DISABLED	None	None	None	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Servicestatus	alln01-2-csm-p-bmcapp-003	check-mk-discovery	OK	OK - no unchecked services found	DISABLED	None	None	None	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Servicestatus	alln01-2-csm-p-bmcweb-001	CCS_API	CRITICAL	CRIT - EXCEPTION_RAISED: (<urllib3.connection.VerifiedHTTPSConnection object at 0xb7aa10>, 'Connection to ccsapi-int.us-texas-3.cloud.cisco.com timed out. (connect timeout=3.0)')	ENABLED	Tue Nov 29 03:08:53 2016	jdwidari	CCS000030197	None	None	None	None	ACKNOWLEDGED	None	None	
Servicestatus	alln01-2-csm-p-bmcweb-001	check-mk-discovery	OK	OK - no unchecked services found	DISABLED	Tue Aug 30 22:16:01 2016	andrpric	i added two new checks.  just waiting for them to be registered.	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Servicestatus	alln01-2-csm-p-bmcweb-002	check-mk-discovery	OK	OK - no unchecked services found	DISABLED	Tue Aug 30 22:15:07 2016	andrpric	i added two new checks.  just waiting for them to be registered.	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Servicestatus	alln01-2-csm-p-bmcweb-003	check-mk-discovery	OK	OK - no unchecked services found	DISABLED	Tue Aug 30 22:15:18 2016	andrpric	i added two new checks.  just waiting for them to be registered.	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Servicestatus	alln01-2-csm-p-bu-001	check-mk-discovery	OK	OK - no unchecked services found	DISABLED	None	None	None	None	None	None	None	NOT_ACKNOWLEDGED	None	None	
Servicestatus	alln01-2-csm-p-extcilb-001	Available_Mem	OK	OK - 79.3% memory available (crit <= 15.0, warn <= 25.0). Top procs:<br><font face="courier">PID:27899 234MB java -XX:+UseParNewGC ... /var/log/logstash/logstash.log<br>PID:3613 15MB python -Es ... -P<br>PID:548 9MB polkitd --no-debug</font>	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	CPU load	OK	OK - 15min load 0.05 at 2 CPUs	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	CPU utilization	OK	OK - user: 0.2%, system: 0.3%, wait: 0.2%, total: 0.6%	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	Check_MK	CRITICAL	CRIT - Cannot get data from TCP port 10.202.167.110:6556: timed out, execution time 5.0 sec	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	Disk IO SUMMARY	OK	OK - 0.00 B/sec read, 3.67 kB/sec write, IOs: 0.58/sec	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	Interface eth0	OK	OK - [2] (up) MAC: fa:16:3e:3d:c9:e7, speed unknown, in: 1.36 kB/s, out: 2.42 kB/s	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	Kernel Context Switches	OK	OK - 212/s	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	Kernel Major Page Faults	OK	OK - 0/s	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	Kernel Process Creations	OK	OK - 2/s	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	Kernel_dumps	OK	OK - No kernel dumps in /var/crash folder.	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	Postfix Queue	OK	OK - The mailqueue is empty	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	TCP Connections	OK	OK - ESTABLISHED: 2, SYN_SENT: 4, SYN_RECV: 25, CLOSE_WAIT: 1, TIME_WAIT: 3, FIN_WAIT1: 1	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	Uptime	OK	OK - up since Thu Sep 17 13:44:15 2015 (301d 01:33:10)	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	check-mk-discovery	UNKNOWN	UNKNOWN - Cannot get data from TCP port 10.202.167.110:6556: timed out	DISABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	fs_/	OK	OK - 15.5% used (2.90 of 18.70 GB), (levels at 80.00/90.00%), trend: -920.94 B / 24 hours, inodes available 5063k/98.84%	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	fs_/mnt	OK	OK - 5.5% used (5.19 of 94.37 GB), (levels at 80.00/90.00%), trend: +2.46 MB / 24 hours, inodes available 6288k/99.95%	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	hardware_fault	OK		ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	proc_chrony	OK	OK - 1 processes 24.1 MB virtual, 1.5 MB resident, 0.0% CPU	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	proc_collectd	OK	OK - 1 processes 984.2 MB virtual, 4.9 MB resident, 0.0% CPU	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	proc_haproxy	OK	OK - 2 processes 99.0 MB virtual, 5.8 MB resident, 0.0% CPU	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	proc_logstash	OK	OK - 1 processes 3091.2 MB virtual, 234.1 MB resident, 0.0% CPU	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	proc_monit	OK	OK - 1 processes 124.2 MB virtual, 2.7 MB resident, 0.0% CPU	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-001	proc_sshd	OK	OK - 1 processes 80.6 MB virtual, 3.5 MB resident, 0.0% CPU	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:40:13 to 07-14-2017 17:40:13.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:10:13 2016	Fri Jul 14 23:10:13 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-002	Available_Mem	OK	OK - 79.7% memory available (crit <= 15.0, warn <= 25.0). Top procs:<br><font face="courier">PID:16184 212MB java -XX:+UseParNewGC ... /var/log/logstash/logstash.log<br>PID:3623 15MB python -Es ... -P<br>PID:552 9MB polkitd --no-debug</font>	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:42:01 to 07-14-2017 17:42:01.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:12:01 2016	Fri Jul 14 23:12:01 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-002	CPU load	OK	OK - 15min load 0.05 at 2 CPUs	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:42:01 to 07-14-2017 17:42:01.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:12:01 2016	Fri Jul 14 23:12:01 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-002	CPU utilization	OK	OK - user: 0.3%, system: 0.5%, wait: 0.0%, total: 0.8%	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:42:01 to 07-14-2017 17:42:01.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:12:01 2016	Fri Jul 14 23:12:01 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-002	Check_MK	CRITICAL	CRIT - Cannot get data from TCP port 10.202.167.111:6556: timed out, execution time 5.0 sec	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:42:01 to 07-14-2017 17:42:01.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:12:01 2016	Fri Jul 14 23:12:01 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-002	Disk IO SUMMARY	OK	OK - 0.00 B/sec read, 4.27 kB/sec write, IOs: 0.73/sec	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:42:01 to 07-14-2017 17:42:01.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:12:01 2016	Fri Jul 14 23:12:01 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-002	Interface eth0	OK	OK - [2] (up) MAC: fa:16:3e:57:88:fc, speed unknown, in: 1007.12 B/s, out: 1.40 kB/s	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:42:01 to 07-14-2017 17:42:01.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:12:01 2016	Fri Jul 14 23:12:01 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-002	Kernel Context Switches	OK	OK - 1276/s	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:42:01 to 07-14-2017 17:42:01.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:12:01 2016	Fri Jul 14 23:12:01 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-002	Kernel Major Page Faults	OK	OK - 0/s	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:42:01 to 07-14-2017 17:42:01.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:12:01 2016	Fri Jul 14 23:12:01 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
Servicestatus	alln01-2-csm-p-extcilb-002	Kernel Process Creations	OK	OK - 2/s	ENABLED	Mon Nov 28 21:30:55 2016	iminort	This service has been scheduled for fixed downtime from 07-14-2016 15:42:01 to 07-14-2017 17:42:01.  Notifications for the service will not be sent out during that time period.	Thu Jul 14 21:12:01 2016	Fri Jul 14 23:12:01 2017	31543200	1	NOT_ACKNOWLEDGED	iminort	http://billows.cisco.com:9000/p/amp-haproxy-texas-3  CHG0036009	
